REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSNICXX01,2046,52694.444444444445
GLOBAL,LDSNICXX01,2047,52694.444444444445
GLOBAL,LDSNICXX01,2048,52694.444444444445
GLOBAL,LDSNICXX01,2049,52694.444444444445
GLOBAL,LDSNICXX01,2050,52694.444444444445
GLOBAL,LDSPANXX01,2023,52694.444444444445
GLOBAL,LDSPANXX01,2024,52694.444444444445
GLOBAL,LDSPANXX01,2025,52694.444444444445
GLOBAL,LDSPANXX01,2026,52694.444444444445
GLOBAL,LDSPANXX01,2027,52694.444444444445
GLOBAL,LDSPANXX01,2028,52694.444444444445
GLOBAL,LDSPANXX01,2029,52694.444444444445
GLOBAL,LDSPANXX01,2030,52694.444444444445
GLOBAL,LDSPANXX01,2031,52694.444444444445
GLOBAL,LDSPANXX01,2032,52694.444444444445
GLOBAL,LDSPANXX01,2033,52694.444444444445
GLOBAL,LDSPANXX01,2034,52694.444444444445
GLOBAL,LDSPANXX01,2035,52694.444444444445
GLOBAL,LDSPANXX01,2036,52694.444444444445
GLOBAL,LDSPANXX01,2037,52694.444444444445
GLOBAL,LDSPANXX01,2038,52694.444444444445
GLOBAL,LDSPANXX01,2039,52694.444444444445
GLOBAL,LDSPANXX01,2040,52694.444444444445
GLOBAL,LDSPANXX01,2041,52694.444444444445
GLOBAL,LDSPANXX01,2042,52694.444444444445
GLOBAL,LDSPANXX01,2043,52694.444444444445
GLOBAL,LDSPANXX01,2044,52694.444444444445
GLOBAL,LDSPANXX01,2045,52694.444444444445
GLOBAL,LDSPANXX01,2046,52694.444444444445
GLOBAL,LDSPANXX01,2047,52694.444444444445
GLOBAL,LDSPANXX01,2048,52694.444444444445
GLOBAL,LDSPANXX01,2049,52694.444444444445
GLOBAL,LDSPANXX01,2050,52694.444444444445
GLOBAL,LDSPERXX01,2023,52694.444444444445
GLOBAL,LDSPERXX01,2024,52694.444444444445
GLOBAL,LDSPERXX01,2025,52694.444444444445
GLOBAL,LDSPERXX01,2026,52694.444444444445
GLOBAL,LDSPERXX01,2027,52694.444444444445
GLOBAL,LDSPERXX01,2028,52694.444444444445
GLOBAL,LDSPERXX01,2029,52694.444444444445
GLOBAL,LDSPERXX01,2030,52694.444444444445
GLOBAL,LDSPERXX01,2031,52694.444444444445
GLOBAL,LDSPERXX01,2032,52694.444444444445
GLOBAL,LDSPERXX01,2033,52694.444444444445
GLOBAL,LDSPERXX01,2034,52694.444444444445
GLOBAL,LDSPERXX01,2035,52694.444444444445
GLOBAL,LDSPERXX01,2036,52694.444444444445
GLOBAL,LDSPERXX01,2037,52694.444444444445
GLOBAL,LDSPERXX01,2038,52694.444444444445
GLOBAL,LDSPERXX01,2039,52694.444444444445
GLOBAL,LDSPERXX01,2040,52694.444444444445
GLOBAL,LDSPERXX01,2041,52694.444444444445
GLOBAL,LDSPERXX01,2042,52694.444444444445
GLOBAL,LDSPERXX01,2043,52694.444444444445
GLOBAL,LDSPERXX01,2044,52694.444444444445
GLOBAL,LDSPERXX01,2045,52694.444444444445
GLOBAL,LDSPERXX01,2046,52694.444444444445
GLOBAL,LDSPERXX01,2047,52694.444444444445
GLOBAL,LDSPERXX01,2048,52694.444444444445
GLOBAL,LDSPERXX01,2049,52694.444444444445
GLOBAL,LDSPERXX01,2050,52694.444444444445
GLOBAL,LDSPRYXX01,2023,52694.444444444445
GLOBAL,LDSPRYXX01,2024,52694.444444444445
GLOBAL,LDSPRYXX01,2025,52694.444444444445
GLOBAL,LDSPRYXX01,2026,52694.444444444445
GLOBAL,LDSPRYXX01,2027,52694.444444444445
GLOBAL,LDSPRYXX01,2028,52694.444444444445
GLOBAL,LDSPRYXX01,2029,52694.444444444445
GLOBAL,LDSPRYXX01,2030,52694.444444444445
GLOBAL,LDSPRYXX01,2031,52694.444444444445
GLOBAL,LDSPRYXX01,2032,52694.444444444445
GLOBAL,LDSPRYXX01,2033,52694.444444444445
GLOBAL,LDSPRYXX01,2034,52694.444444444445
GLOBAL,LDSPRYXX01,2035,52694.444444444445
GLOBAL,LDSPRYXX01,2036,52694.444444444445
GLOBAL,LDSPRYXX01,2037,52694.444444444445
GLOBAL,LDSPRYXX01,2038,52694.444444444445
GLOBAL,LDSPRYXX01,2039,52694.444444444445
GLOBAL,LDSPRYXX01,2040,52694.444444444445
GLOBAL,LDSPRYXX01,2041,52694.444444444445
GLOBAL,LDSPRYXX01,2042,52694.444444444445
GLOBAL,LDSPRYXX01,2043,52694.444444444445
GLOBAL,LDSPRYXX01,2044,52694.444444444445
GLOBAL,LDSPRYXX01,2045,52694.444444444445
GLOBAL,LDSPRYXX01,2046,52694.444444444445
GLOBAL,LDSPRYXX01,2047,52694.444444444445
GLOBAL,LDSPRYXX01,2048,52694.444444444445
GLOBAL,LDSPRYXX01,2049,52694.444444444445
GLOBAL,LDSPRYXX01,2050,52694.444444444445
GLOBAL,LDSSLVXX01,2023,52694.444444444445
GLOBAL,LDSSLVXX01,2024,52694.444444444445
GLOBAL,LDSSLVXX01,2025,52694.444444444445
GLOBAL,LDSSLVXX01,2026,52694.444444444445
GLOBAL,LDSSLVXX01,2027,52694.444444444445
GLOBAL,LDSSLVXX01,2028,52694.444444444445
GLOBAL,LDSSLVXX01,2029,52694.444444444445
GLOBAL,LDSSLVXX01,2030,52694.444444444445
GLOBAL,LDSSLVXX01,2031,52694.444444444445
